epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.0955,2.19967,2.07139,1.36973,0.70597,0.57143,0.52458,0.26171,1.99853,1.94016,1.21406,0.000655172,0.000655172,0.000655172
2,146.45,2.00908,1.75552,1.21224,0.75249,0.78195,0.7861,0.38647,2.25338,1.51883,1.41374,0.00131457,0.00131457,0.00131457
3,201.847,2.01922,1.89828,1.18885,0.73218,0.65714,0.74488,0.39796,1.93017,1.39764,1.27056,0.00196663,0.00196663,0.00196663
4,266.395,2.07437,1.88349,1.24685,0.8409,0.74286,0.7928,0.39575,2.16382,1.52678,1.30344,0.001967,0.001967,0.001967
5,326.516,2.08892,1.95343,1.23771,0.72665,0.74286,0.82392,0.36769,2.12181,1.54576,1.25269,0.001956,0.001956,0.001956
6,382.144,1.91249,1.78258,1.17398,0.6886,0.74286,0.73956,0.38115,2.2204,1.6382,1.2798,0.001945,0.001945,0.001945
7,450.556,2.02111,1.79048,1.18869,0.72451,0.75156,0.79104,0.33678,2.23173,1.55984,1.15085,0.001934,0.001934,0.001934
8,510.906,1.95795,1.71894,1.16447,0.80232,0.81194,0.81612,0.41816,2.10593,1.42195,1.32528,0.001923,0.001923,0.001923
9,567.934,1.88584,1.6937,1.16557,0.89029,0.8,0.87983,0.43755,2.00942,1.24447,1.11827,0.001912,0.001912,0.001912
10,631.403,1.89532,1.66558,1.15398,0.81162,0.86177,0.85414,0.37526,2.18813,1.40249,1.40164,0.001901,0.001901,0.001901
11,704.823,1.8805,1.71916,1.16332,0.89157,0.71429,0.81654,0.30102,2.32296,1.51091,1.17543,0.00189,0.00189,0.00189
12,773.698,1.8935,1.69793,1.13669,0.76792,0.82857,0.80373,0.39098,2.04563,1.35686,1.25599,0.001879,0.001879,0.001879
13,845.989,1.94301,1.65264,1.13765,0.82448,0.74286,0.81067,0.44025,2.06637,1.53418,1.35028,0.001868,0.001868,0.001868
14,922.096,1.89962,1.6056,1.14601,0.81151,0.57143,0.76541,0.3564,2.05403,1.58042,1.20803,0.001857,0.001857,0.001857
15,1014.32,1.92628,1.66109,1.13944,0.78046,0.71429,0.86249,0.4463,1.74231,1.54094,0.98305,0.001846,0.001846,0.001846
16,1123.33,1.873,1.707,1.14704,0.8191,0.65714,0.78637,0.3023,2.1346,1.83936,1.07753,0.001835,0.001835,0.001835
17,1225.91,1.87416,1.63204,1.0922,0.6597,0.77143,0.79152,0.42188,1.95056,1.37742,1.18096,0.001824,0.001824,0.001824
18,1333.57,1.83581,1.69531,1.08571,0.88932,0.68883,0.82661,0.4035,2.09598,1.3129,1.31739,0.001813,0.001813,0.001813
19,1432.14,1.73813,1.50909,1.09593,0.77358,0.8787,0.89306,0.47094,1.92177,1.3297,1.14528,0.001802,0.001802,0.001802
20,1520.81,1.77393,1.49118,1.06095,0.77787,0.88571,0.91088,0.49381,1.88686,1.23942,1.09897,0.001791,0.001791,0.001791
21,1627.45,1.77956,1.5343,1.0865,0.86763,0.74925,0.85219,0.44796,1.90752,1.36573,1.13982,0.00178,0.00178,0.00178
