epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7279,3.76186,7.73986,2.6906,0.00131,0.84615,0.0138,0.00376,2.93377,6.89183,1.95999,0.00036,0.00036,0.00036
2,43.9945,2.7019,4.80466,1.82421,0.00119,0.76923,0.0022,0.00072,2.77403,7.84904,1.96497,0.000736948,0.000736948,0.000736948
3,64.3333,2.66091,4.39982,1.78462,0.00083,0.53846,0.02406,0.00733,3.58199,8.74992,2.36776,0.00111076,0.00111076,0.00111076
4,84.1725,2.6452,4.08648,1.773,0.33574,0.15385,0.18223,0.04794,2.73393,6.72065,1.7999,0.00148144,0.00148144,0.00148144
5,107.111,2.66606,3.52093,1.63325,0.82976,0.69231,0.70314,0.22418,3.00866,9.64912,3.71644,0.00184898,0.00184898,0.00184898
6,130.138,2.5759,3.19013,1.70977,0.37836,0.53846,0.27639,0.05421,3.08805,13.2378,2.38261,0.00195875,0.00195875,0.00195875
7,151.682,2.4751,3.20021,1.64092,0.3015,0.46499,0.34334,0.07645,3.07556,8.36306,2.47767,0.0019505,0.0019505,0.0019505
8,175.17,2.50301,2.65468,1.66161,0.34712,0.46154,0.28576,0.05646,3.14053,6.11963,2.34004,0.00194225,0.00194225,0.00194225
9,200.354,2.4067,2.57938,1.66968,0.26098,0.38462,0.20484,0.05175,3.01508,5.05174,2.24809,0.001934,0.001934,0.001934
10,229.272,2.32805,2.66026,1.59823,0.58623,0.38462,0.39381,0.10494,2.92498,2.59839,2.08494,0.00192575,0.00192575,0.00192575
11,274.825,2.45507,2.36763,1.59563,0.95335,0.30769,0.33356,0.14355,2.43753,2.31771,1.59265,0.0019175,0.0019175,0.0019175
12,314.804,2.44923,2.43183,1.595,0.66283,0.23077,0.27248,0.0922,2.65389,2.3893,2.10714,0.00190925,0.00190925,0.00190925
13,351.295,2.36824,2.42158,1.63937,0.43133,0.61538,0.45427,0.13042,2.95318,2.49342,2.20207,0.001901,0.001901,0.001901
14,382.696,2.24088,2.27897,1.6066,0.41394,0.30769,0.22638,0.07293,2.83893,2.53223,1.96908,0.00189275,0.00189275,0.00189275
15,415.106,2.30574,2.24968,1.65939,0.57258,0.38462,0.38152,0.17899,2.51092,2.39581,1.67552,0.0018845,0.0018845,0.0018845
16,441.771,2.42837,2.1142,1.59043,0.76861,0.30769,0.3668,0.13885,2.45724,1.70411,1.70724,0.00187625,0.00187625,0.00187625
17,467.657,2.22638,2.16933,1.50717,0.93176,0.38462,0.40775,0.1663,2.53053,2.5718,1.66052,0.001868,0.001868,0.001868
18,493.238,2.17217,2.05123,1.48822,0.53548,0.53846,0.51968,0.23776,2.34239,1.63584,1.58443,0.00185975,0.00185975,0.00185975
19,521.304,2.26016,1.98549,1.50206,0.65967,0.61538,0.64858,0.27643,2.43019,1.71607,1.50952,0.0018515,0.0018515,0.0018515
20,550.639,2.19357,1.92305,1.47671,0.66287,0.75698,0.69581,0.27834,2.43421,1.88743,1.76132,0.00184325,0.00184325,0.00184325
21,580.6,2.16239,1.89827,1.51706,0.9022,0.61538,0.70923,0.27749,2.70012,1.7723,1.91702,0.001835,0.001835,0.001835
22,608.152,2.19418,1.94092,1.49993,0.49409,0.76923,0.66953,0.2391,2.74722,1.78766,1.7673,0.00182675,0.00182675,0.00182675
23,639.052,2.23827,1.87931,1.41941,0.54293,0.30769,0.292,0.13831,2.82153,2.46605,1.89565,0.0018185,0.0018185,0.0018185
24,667.673,2.15342,1.96855,1.54861,0.39374,0.46154,0.30587,0.08898,2.66929,2.37627,2.03284,0.00181025,0.00181025,0.00181025
25,702.46,2.19321,1.90673,1.49594,0.54124,0.30769,0.33781,0.11015,2.51525,2.08219,1.39515,0.001802,0.001802,0.001802
26,730.108,2.30901,1.95793,1.46798,0.65986,0.53846,0.6609,0.27144,2.21786,1.80817,1.34373,0.00179375,0.00179375,0.00179375
27,758.444,2.0381,1.90746,1.45612,0.77278,0.53846,0.60523,0.23825,2.41754,2.03642,1.47893,0.0017855,0.0017855,0.0017855
28,789.561,2.06632,1.90636,1.34577,0.40032,0.61625,0.40429,0.13244,2.60135,1.96895,1.68438,0.00177725,0.00177725,0.00177725
29,817.608,2.00605,1.76442,1.43382,0.76568,0.75502,0.74473,0.31718,2.57827,1.76817,1.99763,0.001769,0.001769,0.001769
30,844.545,1.96201,1.6777,1.33416,0.88675,0.69231,0.74196,0.31121,2.35006,1.66937,1.65348,0.00176075,0.00176075,0.00176075
31,871.23,2.12549,1.70432,1.41025,0.87921,0.76923,0.8058,0.30422,2.46377,1.64283,1.65349,0.0017525,0.0017525,0.0017525
32,898.437,1.97337,1.76292,1.36039,0.78549,0.84615,0.82785,0.25487,2.58065,1.71412,1.50143,0.00174425,0.00174425,0.00174425
33,924.311,2.06275,1.77834,1.38924,0.74152,0.76923,0.73267,0.26937,2.54805,1.83554,1.5605,0.001736,0.001736,0.001736
34,948.334,1.99974,1.75267,1.36575,0.96815,0.76923,0.78044,0.31775,2.32025,1.60539,1.43978,0.00172775,0.00172775,0.00172775
35,972.441,2.01191,1.7124,1.36757,0.70012,0.61538,0.59051,0.21364,2.3199,1.73198,1.40151,0.0017195,0.0017195,0.0017195
36,998.499,2.00892,1.70969,1.37597,0.81458,0.61538,0.68222,0.20093,2.55424,1.93148,1.7743,0.00171125,0.00171125,0.00171125
37,1021.18,2.10704,1.69689,1.31429,0.80936,0.69231,0.7904,0.26858,2.56299,1.53188,1.87595,0.001703,0.001703,0.001703
38,1048.28,1.9935,1.71116,1.35247,0.51215,0.53846,0.58814,0.21759,2.55151,1.77588,1.73851,0.00169475,0.00169475,0.00169475
39,1068.6,1.91469,1.69901,1.37825,0.76428,0.76923,0.83248,0.34347,2.47827,1.61341,1.63639,0.0016865,0.0016865,0.0016865
40,1091.31,1.98863,1.59908,1.34145,1,0.74788,0.82202,0.36388,2.33181,1.67191,1.75055,0.00167825,0.00167825,0.00167825
41,1110.82,1.89495,1.67892,1.29612,0.72691,0.69231,0.70471,0.27804,2.56163,1.67178,1.98255,0.00167,0.00167,0.00167
42,1130.04,1.97447,1.6193,1.36497,0.89821,0.76923,0.78304,0.43442,2.2459,1.59583,2.0595,0.00166175,0.00166175,0.00166175
43,1153.2,1.89028,1.53835,1.39212,0.80781,0.69231,0.77445,0.36658,2.35261,1.48242,1.69914,0.0016535,0.0016535,0.0016535
44,1179.28,1.96454,1.57676,1.3874,0.62838,0.53846,0.54743,0.17031,2.8344,1.80377,2.27095,0.00164525,0.00164525,0.00164525
45,1201.62,1.92769,1.66066,1.34181,0.80063,0.61538,0.7197,0.3323,2.54899,1.40833,1.69371,0.001637,0.001637,0.001637
46,1222.7,1.88135,1.65023,1.28462,0.80185,0.53846,0.76607,0.26409,2.69185,1.44505,1.777,0.00162875,0.00162875,0.00162875
47,1245.95,1.83646,1.58964,1.25936,0.80696,0.69231,0.7215,0.27373,2.50946,1.50368,1.60513,0.0016205,0.0016205,0.0016205
48,1266.91,1.86948,1.51875,1.19756,0.85026,0.61538,0.7451,0.36957,2.37956,1.47815,1.72701,0.00161225,0.00161225,0.00161225
49,1289.48,1.83419,1.55929,1.24622,0.91477,0.84615,0.8773,0.34609,2.45337,1.38922,1.74457,0.001604,0.001604,0.001604
50,1311.41,1.94474,1.53525,1.28631,0.87826,0.76923,0.8348,0.3646,2.29129,1.42914,1.80158,0.00159575,0.00159575,0.00159575
