epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3245,4.6338,10.1007,3.26978,0.00167,0.71429,0.00778,0.00182,3.13157,6.51164,1.70097,0.00026,0.00026,0.00026
2,56.5075,2.8445,3.90804,1.81867,0.002,0.85714,0.03584,0.00595,2.95425,5.92523,1.6357,0.000537327,0.000537327,0.000537327
3,72.8219,2.61434,3.33515,1.66724,0.00067,0.28571,0.00062,0.00013,4.31497,8.10579,2.90746,0.000811882,0.000811882,0.000811882
4,88.5749,2.51441,3.04043,1.56467,0.06201,0.42857,0.03813,0.01328,2.69791,4.81028,1.56838,0.00108366,0.00108366,0.00108366
5,105.864,2.47893,2.80854,1.55089,0.57625,0.28571,0.33727,0.0758,2.67923,5.31396,1.70302,0.00135268,0.00135268,0.00135268
6,122.696,2.43685,2.78991,1.51799,0.22364,0.35714,0.14413,0.06459,2.25806,4.6575,1.39373,0.00161892,0.00161892,0.00161892
7,138.938,2.37805,2.70288,1.49287,0.67894,0.5,0.49047,0.19662,2.28263,3.69893,1.51973,0.00188238,0.00188238,0.00188238
8,155.318,2.46511,2.60847,1.48872,0.4309,0.5,0.42351,0.19272,2.71746,3.91149,1.45761,0.0019307,0.0019307,0.0019307
9,174.215,2.30874,2.46719,1.50006,0.34143,0.57143,0.417,0.14655,2.60592,4.85385,1.50861,0.0019208,0.0019208,0.0019208
10,191.965,2.22627,2.42227,1.47194,0.11159,0.28571,0.08801,0.01898,2.66244,5.71559,1.31466,0.0019109,0.0019109,0.0019109
11,209.883,2.20137,2.15122,1.38204,0.43928,0.28571,0.35768,0.22308,1.95863,6.05663,1.36379,0.001901,0.001901,0.001901
12,228.195,2.23707,2.06497,1.39376,0.60464,0.54748,0.48826,0.11971,2.77811,3.11687,1.66144,0.0018911,0.0018911,0.0018911
13,246.427,2.20019,2.06627,1.40178,0.64505,0.64286,0.49445,0.24281,2.14883,2.74553,1.68815,0.0018812,0.0018812,0.0018812
14,265.478,2.16195,1.94851,1.33093,0.91635,0.5,0.6467,0.27396,2.08914,2.202,1.36551,0.0018713,0.0018713,0.0018713
15,283.837,2.23341,1.93603,1.34849,0.44026,0.71429,0.58823,0.27782,1.80255,2.32418,1.29197,0.0018614,0.0018614,0.0018614
16,302.166,2.11652,1.84548,1.31038,0.49524,0.5,0.4824,0.28057,1.78379,3.07846,1.27482,0.0018515,0.0018515,0.0018515
17,322.867,1.93278,1.73165,1.27121,0.55583,0.57143,0.57411,0.22739,2.017,2.03216,1.42403,0.0018416,0.0018416,0.0018416
18,345.096,1.94654,1.64506,1.29879,0.83103,0.70343,0.6787,0.33016,2.17019,1.84935,1.26121,0.0018317,0.0018317,0.0018317
